ID,Marca,Modelo,Categoria,Precio,Cantidad,Tienda
1309,Dell,XPS 13,Oficina,12700.00,15,Lima Este
1310,Dell,XPS 13,DiseÃ±o,14600.00,17,Lima Centro
1311,Lenovo,Yoga Slim 7,Empresarial,10600.00,38,La Molina
1312,MSI,GF63,Oficina,7500.00,47,Lima Centro
1313,Dell,Latitude 5420,EducaciÃ³n,8800.00,16,Lima Centro
1314,MSI,Katana GF66,Gamer,14500.00,47,Lima Este
1315,Acer,Nitro 5,DiseÃ±o,13100.00,34,Lima Sur
1316,Dell,Inspiron 15,EducaciÃ³n,9500.00,30,Lima Este
1317,Asus,TUF F15,EducaciÃ³n,4700.00,30,Los Olivos
1318,MSI,GF63,Gamer,7300.00,14,Lima Este
1319,MSI,Modern 14,Home,9200.00,7,Lima Este
1320,MSI,GF63,Oficina,9700.00,4,Lima Este
1321,Asus,TUF F15,Oficina,12000.00,16,Lima Este
1322,MSI,GF63,Empresarial,11200.00,11,Lima Este
1323,Lenovo,IdeaPad 3,Empresarial,11800.00,10,Los Olivos
1324,Apple,MacBook Air M1,Oficina,2100.00,35,Miraflores
1325,HP,EliteBook 840,Home,12700.00,10,Miraflores
1326,Apple,MacBook Air M2,EducaciÃ³n,9700.00,7,San Borja
1327,Asus,TUF F15,Gamer,5400.00,12,Los Olivos
1328,Dell,Latitude 5420,DiseÃ±o,9500.00,43,Lima Sur
1329,MSI,Modern 14,Home,7200.00,43,Los Olivos
1330,Asus,ZenBook 14,EducaciÃ³n,6200.00,33,Lima Este
1331,HP,Pavilion 15,Gamer,8300.00,45,Surco
1332,Dell,Inspiron 15,Empresarial,5300.00,3,San Isidro
1333,Acer,Nitro 5,DiseÃ±o,7700.00,15,La Molina
1334,Dell,Inspiron 15,DiseÃ±o,7000.00,5,Lima Centro
1335,Apple,MacBook Air M2,EducaciÃ³n,10500.00,5,Lima Este
1336,HP,EliteBook 840,EducaciÃ³n,3200.00,37,Lima Sur
1337,Dell,Latitude 5420,Home,2400.00,15,Surco
1338,Asus,ZenBook 14,DiseÃ±o,10800.00,7,San Borja
1339,Acer,Aspire 5,EducaciÃ³n,13100.00,9,San Borja
1340,Apple,MacBook Pro 14,Home,6000.00,37,San Isidro
1341,Acer,Predator Helios 300,DiseÃ±o,13000.00,48,Surco
1342,Asus,VivoBook 15,DiseÃ±o,13700.00,24,Miraflores
1343,Lenovo,ThinkPad E14,DiseÃ±o,10200.00,44,Miraflores
1344,Asus,ZenBook 14,Empresarial,6400.00,9,San Isidro
1345,MSI,Modern 14,Oficina,2600.00,6,Surco
1346,Acer,Nitro 5,EducaciÃ³n,10300.00,33,Surco
1347,Apple,MacBook Air M1,Home,9200.00,19,Lima Centro
1348,Apple,MacBook Pro 14,EducaciÃ³n,2200.00,23,Miraflores
1349,Dell,Inspiron 15,DiseÃ±o,5600.00,49,Miraflores
1350,Apple,MacBook Air M1,EducaciÃ³n,2300.00,11,Lima Centro
1351,HP,Envy 13,DiseÃ±o,9400.00,7,Lima Este
1352,Lenovo,Legion 5,Empresarial,7600.00,23,Lima Este
1353,Lenovo,ThinkPad E14,EducaciÃ³n,14400.00,17,Los Olivos
1354,Dell,XPS 13,Oficina,5100.00,43,San Borja
1355,Acer,Swift 3,Empresarial,8400.00,3,Los Olivos
1356,Apple,MacBook Air M2,Gamer,7900.00,15,San Borja
1357,Apple,MacBook Air M2,DiseÃ±o,5600.00,7,Lima Este
1358,Dell,XPS 13,Empresarial,5300.00,3,Surco
1359,MSI,Modern 14,Oficina,2900.00,10,Lima Centro
1360,Acer,Predator Helios 300,Gamer,4600.00,25,San Isidro
1361,Asus,TUF F15,EducaciÃ³n,13400.00,44,Lima Sur
1362,Acer,Predator Helios 300,Gamer,5000.00,12,Surco
1363,Lenovo,ThinkPad E14,Empresarial,8400.00,48,Miraflores
1364,MSI,GF63,Oficina,11000.00,1,Surco
1365,Dell,Latitude 5420,Oficina,4400.00,27,Lima Centro
1366,Apple,MacBook Air M2,Empresarial,2200.00,42,Lima Sur
1367,Dell,Latitude 5420,Empresarial,2800.00,26,Surco
1368,Apple,MacBook Pro 14,Home,2700.00,15,Surco
1369,MSI,GF63,Oficina,6100.00,19,La Molina
1370,Acer,Nitro 5,DiseÃ±o,9800.00,30,Lima Sur
1371,Lenovo,ThinkPad E14,Gamer,9200.00,12,Lima Sur
1372,Lenovo,Yoga Slim 7,Oficina,13700.00,40,Surco
1373,Asus,ROG Strix G15,Empresarial,13100.00,49,Lima Sur
1374,Acer,Aspire 5,Oficina,12300.00,31,Miraflores
1375,Acer,Aspire 5,Home,2600.00,39,Lima Norte
1376,Acer,Predator Helios 300,Empresarial,12100.00,17,Miraflores
1377,Acer,Nitro 5,Home,7300.00,47,Surco
1378,Apple,MacBook Air M1,EducaciÃ³n,9100.00,21,Lima Centro
1379,HP,EliteBook 840,Empresarial,14500.00,14,Lima Centro
1380,HP,Envy 13,EducaciÃ³n,8000.00,5,Los Olivos
1381,Apple,MacBook Pro 14,EducaciÃ³n,9300.00,7,Lima Norte
1382,Lenovo,Legion 5,Oficina,14000.00,43,La Molina
1383,HP,EliteBook 840,Gamer,8700.00,22,La Molina
1384,HP,Victus 16,DiseÃ±o,3700.00,45,Lima Sur
1385,Acer,Predator Helios 300,Oficina,14900.00,10,Miraflores
1386,Lenovo,ThinkPad E14,EducaciÃ³n,5400.00,25,Miraflores
1387,MSI,Modern 14,Gamer,13100.00,1,La Molina
1388,Apple,MacBook Pro 14,DiseÃ±o,2400.00,20,Lima Este
1389,Apple,MacBook Air M1,EducaciÃ³n,5700.00,32,Lima Centro
1390,Apple,MacBook Air M1,Home,10600.00,13,Lima Este
1391,Dell,XPS 13,Gamer,10600.00,42,Lima Este
1392,Dell,Inspiron 15,Home,11000.00,33,Lima Norte
1393,Acer,Nitro 5,Empresarial,11700.00,39,San Isidro
1394,Lenovo,Yoga Slim 7,Home,6700.00,46,Surco
1395,Acer,Aspire 5,Empresarial,2600.00,47,Los Olivos
1396,Asus,VivoBook 15,Empresarial,13900.00,28,San Borja
1397,Dell,Latitude 5420,Oficina,10100.00,18,Surco
1398,Asus,ROG Strix G15,Gamer,6200.00,30,La Molina
1399,Apple,MacBook Air M2,EducaciÃ³n,6300.00,33,San Isidro
1400,Asus,ROG Strix G15,Empresarial,5100.00,32,Lima Norte
1401,Acer,Aspire 5,Gamer,5900.00,19,Lima Norte
1402,Acer,Predator Helios 300,DiseÃ±o,14600.00,23,Lima Norte
1403,Apple,MacBook Air M2,Oficina,6200.00,6,Miraflores
1404,MSI,Modern 14,Home,9200.00,21,Surco
1405,Dell,Inspiron 15,Empresarial,9700.00,32,Los Olivos
1406,HP,Victus 16,Gamer,12600.00,18,San Isidro
1407,Lenovo,IdeaPad 3,DiseÃ±o,9300.00,36,Los Olivos
1408,Acer,Aspire 5,Gamer,7000.00,31,San Isidro
1409,MSI,GF63,Gamer,3700.00,37,La Molina
1410,Apple,MacBook Air M1,Oficina,14100.00,30,Lima Centro
1411,HP,EliteBook 840,Home,12100.00,35,Miraflores
1412,HP,Victus 16,EducaciÃ³n,10700.00,8,La Molina
1413,Apple,MacBook Air M1,Empresarial,5200.00,38,Lima Este
1414,Lenovo,ThinkPad E14,Empresarial,12600.00,41,Miraflores
1415,Dell,XPS 13,Gamer,2800.00,14,Surco
1416,HP,Victus 16,Gamer,9900.00,26,Los Olivos
1417,Acer,Predator Helios 300,Home,5600.00,22,Lima Este
1418,Acer,Nitro 5,DiseÃ±o,7400.00,29,La Molina
1419,HP,Envy 13,Home,11000.00,32,La Molina
1420,Acer,Aspire 5,Oficina,9000.00,9,La Molina
1421,Apple,MacBook Air M1,Oficina,5100.00,48,Los Olivos
1422,Asus,VivoBook 15,DiseÃ±o,4200.00,45,Lima Norte
1423,Asus,VivoBook 15,DiseÃ±o,14900.00,15,Lima Norte
1424,HP,EliteBook 840,EducaciÃ³n,4500.00,14,La Molina
1425,Lenovo,Legion 5,Home,7100.00,7,Lima Este
1426,Lenovo,Legion 5,DiseÃ±o,14500.00,1,La Molina
1427,MSI,Katana GF66,Home,4500.00,20,Surco
1428,MSI,Katana GF66,Gamer,7100.00,5,San Isidro
1429,Dell,G15,Gamer,11600.00,27,Lima Norte
1430,Lenovo,Yoga Slim 7,Gamer,11500.00,13,Miraflores
1431,MSI,Katana GF66,Gamer,14200.00,23,Los Olivos
1432,Asus,VivoBook 15,Empresarial,13300.00,26,Los Olivos
1433,Asus,ROG Strix G15,Oficina,10100.00,25,Lima Norte
1434,Apple,MacBook Air M1,Empresarial,7700.00,4,Lima Centro
1435,Lenovo,IdeaPad 3,EducaciÃ³n,13800.00,38,Miraflores
1436,Asus,ZenBook 14,DiseÃ±o,14900.00,24,Miraflores
1437,Lenovo,Legion 5,Home,9700.00,18,Lima Norte
1438,MSI,Modern 14,Gamer,6500.00,43,Lima Este
1439,Acer,Aspire 5,Home,4200.00,11,Los Olivos
1440,Acer,Swift 3,Empresarial,9600.00,36,San Borja
1441,MSI,GF63,Home,11000.00,46,Miraflores
1442,MSI,Katana GF66,Empresarial,9000.00,12,Lima Este
1443,Asus,ZenBook 14,Home,5900.00,39,Lima Este
1444,Apple,MacBook Air M2,EducaciÃ³n,4000.00,13,Miraflores
1445,Acer,Predator Helios 300,Empresarial,12800.00,7,San Borja
1446,Acer,Nitro 5,DiseÃ±o,3300.00,44,San Borja
1447,HP,Envy 13,Oficina,12500.00,12,Lima Centro
1448,Asus,TUF F15,Oficina,10900.00,21,Lima Sur
1449,Dell,XPS 13,Home,7500.00,20,San Borja
1450,Apple,MacBook Pro 14,Gamer,10600.00,19,Miraflores
1451,HP,Pavilion 15,EducaciÃ³n,14600.00,45,Los Olivos
1452,Asus,TUF F15,Home,14000.00,40,San Isidro
1453,Apple,MacBook Air M2,EducaciÃ³n,13500.00,16,Miraflores
1454,Lenovo,IdeaPad 3,EducaciÃ³n,3300.00,37,Miraflores
1455,HP,Victus 16,DiseÃ±o,9800.00,39,Miraflores
1456,HP,Pavilion 15,Gamer,4200.00,41,Lima Este
1457,Lenovo,ThinkPad E14,Empresarial,2200.00,4,Lima Este
1458,Lenovo,Legion 5,Home,5900.00,20,Miraflores
1459,Asus,TUF F15,EducaciÃ³n,14200.00,24,San Isidro
1460,Apple,MacBook Pro 14,DiseÃ±o,6400.00,38,Miraflores
1461,HP,Pavilion 15,EducaciÃ³n,5900.00,37,Lima Norte
1462,MSI,Modern 14,Empresarial,13800.00,25,La Molina
1463,MSI,GF63,Gamer,4100.00,10,Lima Centro
1464,HP,Pavilion 15,EducaciÃ³n,3900.00,48,Lima Centro
1465,Acer,Aspire 5,Home,9000.00,50,Surco
1466,Acer,Predator Helios 300,EducaciÃ³n,13000.00,7,La Molina
1467,Lenovo,IdeaPad 3,Empresarial,4700.00,41,San Borja
1468,Acer,Aspire 5,DiseÃ±o,7600.00,45,Surco
1469,MSI,GF63,EducaciÃ³n,15000.00,33,Los Olivos
1470,Acer,Swift 3,Gamer,10400.00,6,San Borja
1471,Dell,Inspiron 15,Oficina,7500.00,50,Miraflores
1472,Acer,Nitro 5,Empresarial,9900.00,50,Lima Norte
1473,Apple,MacBook Pro 14,EducaciÃ³n,2600.00,50,San Isidro
1474,Apple,MacBook Air M2,EducaciÃ³n,10700.00,39,Lima Sur
1475,HP,EliteBook 840,Gamer,6900.00,6,San Isidro
1476,MSI,GF63,EducaciÃ³n,10700.00,32,Lima Este
1477,Apple,MacBook Air M2,Home,12200.00,38,Lima Norte
1478,Dell,G15,EducaciÃ³n,11100.00,24,Miraflores
1479,HP,EliteBook 840,Home,10500.00,7,Lima Sur
1480,MSI,GF63,Gamer,4800.00,14,Los Olivos
1481,Asus,VivoBook 15,EducaciÃ³n,8300.00,37,Lima Sur
1482,HP,EliteBook 840,Oficina,7300.00,12,San Isidro
1483,MSI,Modern 14,DiseÃ±o,7400.00,15,Los Olivos
1484,Asus,VivoBook 15,Home,9500.00,38,Lima Centro
1485,Lenovo,Legion 5,Oficina,2900.00,23,Lima Norte
1486,Apple,MacBook Pro 14,EducaciÃ³n,10700.00,6,San Isidro
1487,Dell,G15,Home,8300.00,16,Surco
1488,Apple,MacBook Air M1,Home,14700.00,32,San Isidro
1489,Asus,ROG Strix G15,Empresarial,5000.00,30,Miraflores
1490,Acer,Nitro 5,Gamer,9700.00,13,San Isidro
1491,Asus,VivoBook 15,EducaciÃ³n,13900.00,17,Lima Este
1492,Acer,Aspire 5,Empresarial,6900.00,12,La Molina
1493,Asus,ROG Strix G15,Oficina,4600.00,16,Lima Norte
1494,Asus,VivoBook 15,Oficina,5100.00,48,Miraflores
1495,Dell,Inspiron 15,DiseÃ±o,9800.00,14,San Isidro
1496,Asus,VivoBook 15,EducaciÃ³n,6400.00,39,Surco
1497,Dell,Inspiron 15,EducaciÃ³n,8800.00,25,Lima Centro
1498,Acer,Nitro 5,Oficina,12700.00,25,Surco
1499,Apple,MacBook Pro 14,DiseÃ±o,6400.00,12,San Isidro
1500,HP,EliteBook 840,DiseÃ±o,12900.00,2,San Isidro
1501,Asus,ROG Strix G15,DiseÃ±o,5600.00,37,Lima Norte
1502,HP,Victus 16,Empresarial,5400.00,17,Surco
1503,Apple,MacBook Pro 14,DiseÃ±o,12400.00,22,Miraflores
1504,Apple,MacBook Air M2,Home,9700.00,44,Lima Este
1505,Apple,MacBook Pro 14,Home,5000.00,47,Miraflores
1506,HP,Victus 16,Gamer,4200.00,16,Los Olivos
1507,HP,Envy 13,DiseÃ±o,11100.00,42,La Molina
1508,Apple,MacBook Pro 14,EducaciÃ³n,14600.00,43,San Isidro
1509,Acer,Predator Helios 300,Oficina,4100.00,34,Lima Centro
1510,MSI,GF63,EducaciÃ³n,4300.00,3,Miraflores
1511,HP,EliteBook 840,Oficina,8800.00,25,Los Olivos
1512,Apple,MacBook Air M1,Home,3100.00,29,Miraflores
1513,Apple,MacBook Air M2,Gamer,8900.00,36,Los Olivos
1514,Asus,VivoBook 15,DiseÃ±o,14800.00,18,Los Olivos
1515,Apple,MacBook Air M2,DiseÃ±o,6000.00,45,San Borja
1516,Dell,Inspiron 15,Oficina,5700.00,9,Lima Centro
1517,Dell,Inspiron 15,Empresarial,9800.00,11,San Borja
1518,MSI,Katana GF66,EducaciÃ³n,6400.00,27,Lima Sur
1519,Apple,MacBook Air M1,EducaciÃ³n,4800.00,13,Lima Centro
1520,HP,Pavilion 15,EducaciÃ³n,14000.00,22,Miraflores
1521,HP,Envy 13,Gamer,2300.00,6,La Molina
1522,Dell,Latitude 5420,Empresarial,5300.00,48,Lima Este
1523,HP,Pavilion 15,Gamer,5100.00,8,La Molina
1524,MSI,Katana GF66,Gamer,3400.00,24,Lima Norte
1525,MSI,Katana GF66,EducaciÃ³n,5800.00,28,San Isidro
1526,MSI,Katana GF66,Empresarial,10400.00,9,San Isidro
1527,Apple,MacBook Air M2,DiseÃ±o,3100.00,14,San Isidro
1528,Acer,Aspire 5,Empresarial,9000.00,26,San Borja
1529,HP,Envy 13,Oficina,2100.00,28,San Isidro
1530,Lenovo,IdeaPad 3,Oficina,7900.00,5,Lima Sur
1531,HP,Victus 16,Oficina,9700.00,32,San Isidro
1532,Dell,G15,DiseÃ±o,8300.00,37,Lima Centro
1533,Apple,MacBook Air M1,EducaciÃ³n,5700.00,3,La Molina
1534,Lenovo,IdeaPad 3,DiseÃ±o,10300.00,31,Lima Norte
1535,MSI,Katana GF66,Empresarial,6300.00,39,San Borja
1536,Apple,MacBook Pro 14,Gamer,5800.00,36,Los Olivos
1537,Dell,Latitude 5420,Oficina,4100.00,50,Miraflores
1538,Lenovo,ThinkPad E14,DiseÃ±o,3300.00,20,Lima Este
1539,Asus,VivoBook 15,Oficina,13500.00,38,Lima Este
1540,Acer,Predator Helios 300,Empresarial,13600.00,43,Surco
1541,Acer,Aspire 5,Gamer,14400.00,7,Surco
1542,Acer,Swift 3,EducaciÃ³n,8900.00,17,La Molina
1543,Dell,Inspiron 15,Empresarial,2000.00,50,San Borja
1544,Dell,G15,Empresarial,6900.00,9,Lima Norte
1545,Apple,MacBook Pro 14,DiseÃ±o,14400.00,7,Lima Este
1546,Asus,ROG Strix G15,EducaciÃ³n,6700.00,11,San Isidro
1547,Apple,MacBook Air M2,Gamer,10600.00,23,Miraflores
1548,Lenovo,Legion 5,Home,7200.00,11,La Molina
1549,Lenovo,IdeaPad 3,Home,12500.00,2,Los Olivos
1550,Acer,Aspire 5,Home,13400.00,47,La Molina
1551,HP,Victus 16,DiseÃ±o,11700.00,4,San Isidro
1552,MSI,Modern 14,Oficina,10900.00,28,Miraflores
1553,Acer,Swift 3,Gamer,11000.00,19,Los Olivos
1554,Apple,MacBook Air M1,EducaciÃ³n,3700.00,25,Miraflores
1555,Acer,Predator Helios 300,Empresarial,10600.00,20,San Isidro
1556,Dell,G15,Oficina,13700.00,23,La Molina
1557,Lenovo,Yoga Slim 7,DiseÃ±o,5700.00,27,Surco
1558,MSI,Katana GF66,Gamer,10200.00,42,Los Olivos
1559,HP,EliteBook 840,Empresarial,8400.00,32,La Molina
1560,MSI,Katana GF66,DiseÃ±o,9500.00,20,Miraflores
1561,Apple,MacBook Air M2,EducaciÃ³n,8100.00,19,Lima Norte
1562,Acer,Swift 3,EducaciÃ³n,11100.00,1,Lima Este
1563,Lenovo,ThinkPad E14,Oficina,4100.00,27,Miraflores
1564,HP,Envy 13,Gamer,8200.00,24,Surco
1565,HP,EliteBook 840,DiseÃ±o,14900.00,44,Lima Sur
1566,Dell,XPS 13,EducaciÃ³n,13800.00,7,Lima Este
1567,Asus,TUF F15,DiseÃ±o,4800.00,22,San Isidro
1568,Acer,Predator Helios 300,Gamer,5100.00,47,Lima Sur
1569,MSI,Modern 14,Empresarial,6900.00,38,Miraflores
1570,Lenovo,ThinkPad E14,Empresarial,14500.00,2,La Molina
1571,Acer,Aspire 5,Oficina,3800.00,49,Lima Sur
1572,Asus,ZenBook 14,Empresarial,5000.00,23,La Molina
1573,HP,EliteBook 840,Home,5900.00,28,Lima Este
1574,Acer,Nitro 5,Empresarial,3700.00,39,La Molina
1575,MSI,Katana GF66,EducaciÃ³n,4300.00,21,Lima Este
1576,Acer,Predator Helios 300,Empresarial,14000.00,45,San Borja
1577,Apple,MacBook Air M1,Empresarial,8300.00,22,Lima Este
1578,MSI,Katana GF66,Gamer,13500.00,40,San Borja
1579,Dell,Latitude 5420,Oficina,13700.00,32,Lima Sur
1580,Dell,Inspiron 15,Home,13700.00,45,Miraflores
1581,Dell,G15,Empresarial,14900.00,15,Miraflores
1582,Apple,MacBook Air M2,EducaciÃ³n,8700.00,4,Los Olivos
1583,Asus,TUF F15,Empresarial,8300.00,50,San Borja
1584,MSI,GF63,EducaciÃ³n,2000.00,20,Lima Este
1585,Apple,MacBook Pro 14,EducaciÃ³n,8100.00,23,La Molina
1586,HP,Victus 16,Empresarial,9800.00,46,La Molina
1587,Dell,XPS 13,EducaciÃ³n,8300.00,29,Lima Sur
1588,Lenovo,ThinkPad E14,Oficina,12600.00,20,Surco
1589,HP,Pavilion 15,Oficina,14500.00,38,Miraflores
1590,MSI,Modern 14,EducaciÃ³n,10800.00,35,San Borja
1591,Apple,MacBook Air M1,Oficina,10900.00,7,Lima Este
1592,Asus,VivoBook 15,DiseÃ±o,9900.00,25,Los Olivos
1593,Apple,MacBook Air M2,DiseÃ±o,14100.00,38,Los Olivos
1594,Dell,Latitude 5420,Gamer,8100.00,22,La Molina
1595,Asus,VivoBook 15,Home,13700.00,9,Lima Norte
1596,Dell,G15,DiseÃ±o,11400.00,36,Lima Sur
1597,MSI,Modern 14,Oficina,9500.00,37,Lima Este
1598,Lenovo,Yoga Slim 7,Empresarial,7700.00,35,Lima Norte
1599,HP,Victus 16,DiseÃ±o,6800.00,28,Lima Norte
1600,HP,Victus 16,Empresarial,8700.00,19,Lima Centro
1601,Acer,Nitro 5,Oficina,13200.00,17,Lima Centro
1602,Acer,Swift 3,Empresarial,3300.00,17,Lima Centro
1603,Lenovo,IdeaPad 3,Home,14200.00,24,Lima Norte
1604,HP,Envy 13,Empresarial,14300.00,47,Lima Sur
1605,Dell,Inspiron 15,EducaciÃ³n,3100.00,45,Lima Centro
1606,Dell,Latitude 5420,Gamer,5900.00,39,San Borja
1607,Apple,MacBook Air M1,EducaciÃ³n,11600.00,39,Lima Sur
1608,Apple,MacBook Air M2,EducaciÃ³n,13600.00,12,Miraflores
1609,Lenovo,Legion 5,EducaciÃ³n,2800.00,9,San Isidro
1610,Asus,VivoBook 15,EducaciÃ³n,13300.00,43,Lima Centro
1611,Dell,Latitude 5420,Gamer,13500.00,36,La Molina
1612,Apple,MacBook Air M2,DiseÃ±o,6100.00,44,Lima Norte
1613,Lenovo,ThinkPad E14,Home,7800.00,1,Lima Sur
1614,Asus,ROG Strix G15,Oficina,8700.00,49,Surco
1615,Lenovo,Legion 5,Gamer,11300.00,24,Surco
1616,Acer,Nitro 5,DiseÃ±o,12500.00,16,San Borja
1617,Acer,Aspire 5,DiseÃ±o,11400.00,40,San Borja
1618,Lenovo,Legion 5,Oficina,12700.00,22,Miraflores
1619,Apple,MacBook Air M2,EducaciÃ³n,7900.00,34,Lima Centro
1620,Asus,VivoBook 15,Home,4200.00,39,San Borja
1621,Acer,Nitro 5,Home,13800.00,47,Los Olivos
1622,Asus,ROG Strix G15,Oficina,14000.00,44,San Borja
1623,Dell,Inspiron 15,EducaciÃ³n,7300.00,18,San Borja
1624,HP,EliteBook 840,DiseÃ±o,7400.00,46,Surco
1625,Acer,Predator Helios 300,Oficina,11700.00,2,San Borja
1626,Dell,Latitude 5420,DiseÃ±o,13100.00,45,Lima Este
1627,Acer,Aspire 5,EducaciÃ³n,9700.00,41,Lima Sur
1628,Dell,XPS 13,Oficina,6900.00,2,San Borja
1629,HP,Envy 13,DiseÃ±o,13700.00,43,Lima Norte
1630,Asus,ZenBook 14,Gamer,4600.00,14,La Molina
1631,Asus,VivoBook 15,Gamer,9600.00,43,Miraflores
1632,MSI,GF63,Gamer,4700.00,13,Miraflores
1633,Acer,Nitro 5,DiseÃ±o,8700.00,36,Lima Sur
1634,Lenovo,IdeaPad 3,Oficina,5400.00,31,Lima Este
1635,MSI,GF63,EducaciÃ³n,9500.00,19,Lima Centro
1636,MSI,Katana GF66,Oficina,14800.00,39,Miraflores
1637,Apple,MacBook Pro 14,Empresarial,12900.00,6,Surco
1638,MSI,GF63,Empresarial,6000.00,22,Lima Sur
1639,MSI,Katana GF66,Gamer,3700.00,16,San Isidro
1640,MSI,Katana GF66,Home,11900.00,35,Lima Centro
1641,Apple,MacBook Air M2,Gamer,9900.00,3,Miraflores
1642,Lenovo,ThinkPad E14,Empresarial,6100.00,32,Miraflores
1643,HP,Victus 16,Gamer,5500.00,40,Lima Sur
1644,MSI,GF63,Gamer,13300.00,1,Lima Norte
1645,Dell,G15,Gamer,4600.00,35,La Molina
1646,Dell,XPS 13,Gamer,11000.00,36,Miraflores
1647,MSI,Katana GF66,Empresarial,7300.00,40,San Isidro
1648,HP,Envy 13,EducaciÃ³n,7000.00,9,San Borja
1649,Lenovo,Yoga Slim 7,Empresarial,12800.00,45,San Isidro
1650,Asus,ZenBook 14,DiseÃ±o,12500.00,33,La Molina
1651,Dell,XPS 13,Gamer,3700.00,25,Lima Sur
1652,MSI,Modern 14,Home,8400.00,15,Lima Norte
1653,Acer,Swift 3,Gamer,7700.00,46,San Borja
1654,Asus,ROG Strix G15,Empresarial,2200.00,29,Lima Norte
1655,Apple,MacBook Air M1,Gamer,10500.00,50,Los Olivos
1656,MSI,Modern 14,Gamer,12800.00,9,Miraflores
1657,MSI,GF63,Gamer,14100.00,10,San Borja
1658,Acer,Swift 3,Oficina,5000.00,42,Lima Norte
1659,Lenovo,Legion 5,DiseÃ±o,3700.00,1,Lima Centro
1660,Asus,TUF F15,Empresarial,8000.00,36,Lima Centro
1661,HP,Victus 16,EducaciÃ³n,3300.00,48,Lima Sur
1662,Acer,Aspire 5,EducaciÃ³n,3900.00,27,San Isidro
1663,MSI,Modern 14,Gamer,9500.00,21,Lima Sur
1664,HP,Envy 13,DiseÃ±o,14400.00,40,Surco
1665,MSI,Katana GF66,Home,3800.00,13,San Borja
1666,Dell,G15,Gamer,9700.00,10,Lima Norte
1667,HP,EliteBook 840,DiseÃ±o,9500.00,37,Los Olivos
1668,Asus,VivoBook 15,Gamer,6500.00,35,San Borja
1669,Apple,MacBook Air M1,Empresarial,2800.00,1,San Isidro
1670,Apple,MacBook Air M1,Empresarial,12900.00,38,Los Olivos
1671,Acer,Predator Helios 300,EducaciÃ³n,7700.00,34,San Isidro
1672,Lenovo,Yoga Slim 7,Home,6100.00,7,Lima Norte
1673,Asus,ROG Strix G15,EducaciÃ³n,7700.00,22,San Isidro
1674,MSI,GF63,Home,2900.00,20,Surco
1675,MSI,Katana GF66,Oficina,3600.00,4,San Borja
1676,Dell,Inspiron 15,Empresarial,10100.00,13,Surco
1677,Asus,TUF F15,Oficina,11400.00,27,La Molina
1678,MSI,Katana GF66,Home,5100.00,38,San Isidro
1679,Dell,Latitude 5420,Gamer,6300.00,25,Lima Centro
1680,Asus,VivoBook 15,DiseÃ±o,4400.00,5,San Isidro
1681,Asus,ROG Strix G15,EducaciÃ³n,11700.00,3,Lima Centro
1682,Apple,MacBook Air M2,Gamer,9700.00,22,Lima Norte
1683,Asus,ZenBook 14,EducaciÃ³n,12800.00,44,San Isidro
1684,Apple,MacBook Air M2,DiseÃ±o,5600.00,1,Lima Centro
1685,Dell,Latitude 5420,Gamer,2300.00,45,Miraflores
1686,Apple,MacBook Air M2,Oficina,10400.00,21,Lima Norte
1687,Dell,Inspiron 15,Oficina,12500.00,37,Lima Sur
1688,Lenovo,ThinkPad E14,Home,8700.00,25,Lima Este
1689,MSI,GF63,DiseÃ±o,14300.00,15,Lima Sur
1690,HP,EliteBook 840,Empresarial,8100.00,47,San Borja
1691,HP,Envy 13,Oficina,2000.00,28,San Isidro
1692,Apple,MacBook Air M1,DiseÃ±o,14200.00,30,Lima Sur
1693,MSI,Modern 14,Empresarial,4600.00,30,Miraflores
1694,MSI,Katana GF66,Gamer,8000.00,37,Miraflores
1695,Lenovo,IdeaPad 3,Empresarial,4900.00,49,Lima Este
1696,MSI,GF63,EducaciÃ³n,7500.00,46,San Isidro
1697,Dell,G15,Oficina,14200.00,12,San Borja
1698,Acer,Swift 3,Oficina,13900.00,46,Surco
1699,Acer,Nitro 5,Gamer,8600.00,20,Lima Norte
1700,Asus,VivoBook 15,Home,2800.00,21,Los Olivos
1701,Lenovo,ThinkPad E14,Oficina,14700.00,50,Surco
1702,Acer,Predator Helios 300,EducaciÃ³n,10100.00,35,Lima Sur
1703,Asus,ROG Strix G15,Empresarial,11500.00,48,Lima Centro
1704,Asus,TUF F15,DiseÃ±o,11200.00,41,Lima Centro
1705,Asus,ZenBook 14,Gamer,9100.00,6,Lima Sur
1706,MSI,Katana GF66,Oficina,10600.00,41,San Borja
1707,HP,Victus 16,EducaciÃ³n,2500.00,5,Lima Centro
1708,Asus,VivoBook 15,DiseÃ±o,5800.00,50,Miraflores
1709,MSI,Katana GF66,Home,4300.00,46,Lima Este
1710,Apple,MacBook Air M2,Oficina,13200.00,26,Miraflores
1711,Lenovo,IdeaPad 3,Oficina,9600.00,7,Lima Sur
1712,Asus,ROG Strix G15,EducaciÃ³n,9000.00,7,Miraflores
1713,MSI,GF63,DiseÃ±o,14300.00,28,Lima Sur
1714,Lenovo,Legion 5,Gamer,8000.00,36,Lima Sur
1715,Acer,Swift 3,Oficina,13100.00,24,Miraflores
1716,Asus,VivoBook 15,Oficina,5400.00,34,Miraflores
1717,Apple,MacBook Pro 14,Gamer,13300.00,45,Miraflores
1718,Acer,Swift 3,Oficina,2500.00,9,Los Olivos
